;scenario;market_price_gas;charges_tax_levies_gas;market_price_el;charges_tax_levies_el;standard_dev_el;chp_surcharge;overnight_cost_heat_pump;cop_heat_pump;debug
0;SQ;30;5;34;120;18;0;700000;2.7;False
1;SQ_gastaxes=30;30;30;34;120;18;0;700000;2.7;False
2;SQ_noHP_gastaxlevies=30;30;30;34;120;18;0;7000000000;2.7;False
3;FF-50;30;17.5;34;106.5;18;0;700000;2.7;False
4;FF-60;30;20;34;103.8;18;0;700000;2.7;False
5;FF-70;30;22.5;34;101.1;18;0;700000;2.7;False
6;FF-80;30;25;34;98.4;18;0;700000;2.7;False
7;FF-90;30;27.5;34;95.7;18;0;700000;2.7;False
8;FF;30;30;34;93;18;0;700000;2.7;False
9;SQ-HP-50;30;5;34;120;18;0;700000;2.7;False
10;FF-COP-75;30;30;34;93;18;0;700000;2.025;False
11;FF-Mean-150;30;30;51;93;18;0;700000;2.7;False
12;FF-Std-150;30;30;34;93;27;0;700000;2.7;False
13;FF-Mean-150-Std-150;30;30;51;93;27;0;700000;2.7;False
14;SQ-Std-150;30;5;34;120;27;0;700000;2.7;False
15;SQ-Std-200;30;5;34;120;36;0;700000;2.7;False
16;SQ-HP-50-COP-125;30;5;34;120;18;0;350000;3.375;False
17;SQ-HP-50-COP-150;30;5;34;120;18;0;350000;4.05;False
18;SQ-HP-50-COP-175;30;5;34;120;18;0;350000;4.725;False
19;SQ-HP-50-COP-200;30;5;34;120;18;0;350000;5.4;False
20;scenario_field_0;30;5;34;120;18;0;700000;2.7;False
21;scenario_field_1;30;10;34;114.6;18;0;700000;2.7;False
22;scenario_field_2;30;15;34;109.2;18;0;700000;2.7;False
23;scenario_field_3;30;20;34;103.8;18;0;700000;2.7;False
24;scenario_field_4;30;25;34;98.4;18;0;700000;2.7;False
25;scenario_field_5;30;30;34;93;18;0;700000;2.7;False
26;scenario_field_6;30;5;34;120;22.5;0;700000;2.7;False
27;scenario_field_7;30;10;34;114.6;22.5;0;700000;2.7;False
28;scenario_field_8;30;15;34;109.2;22.5;0;700000;2.7;False
29;scenario_field_9;30;20;34;103.8;22.5;0;700000;2.7;False
30;scenario_field_10;30;25;34;98.4;22.5;0;700000;2.7;False
31;scenario_field_11;30;30;34;93;22.5;0;700000;2.7;False
32;scenario_field_12;30;5;34;120;27;0;700000;2.7;False
33;scenario_field_13;30;10;34;114.6;27;0;700000;2.7;False
34;scenario_field_14;30;15;34;109.2;27;0;700000;2.7;False
35;scenario_field_15;30;20;34;103.8;27;0;700000;2.7;False
36;scenario_field_16;30;25;34;98.4;27;0;700000;2.7;False
37;scenario_field_17;30;30;34;93;27;0;700000;2.7;False
38;scenario_field_18;30;5;34;120;31.5;0;700000;2.7;False
39;scenario_field_19;30;10;34;114.6;31.5;0;700000;2.7;False
40;scenario_field_20;30;15;34;109.2;31.5;0;700000;2.7;False
41;scenario_field_21;30;20;34;103.8;31.5;0;700000;2.7;False
42;scenario_field_22;30;25;34;98.4;31.5;0;700000;2.7;False
43;scenario_field_23;30;30;34;93;31.5;0;700000;2.7;False
44;SQ-CHP;30;5;34;120;18;31;700000;2.7;False
45;FF-50-CHP;30;17.5;34;106.5;18;31;700000;2.7;False
46;FF-60-CHP;30;20;34;103.8;18;31;700000;2.7;False
47;FF-70-CHP;30;22.5;34;101.1;18;31;700000;2.7;False
48;FF-80-CHP;30;25;34;98.4;18;31;700000;2.7;False
49;FF-90-CHP;30;27.5;34;95.7;18;31;700000;2.7;False
50;FF-CHP;30;30;34;93;18;31;700000;2.7;False
51;SQ-HP-50-CHP;30;5;34;120;18;31;700000;2.7;False
52;FF-COP-75-CHP;30;30;34;93;18;31;700000;2.025;False
53;FF-Mean-150-CHP;30;30;51;93;18;31;700000;2.7;False
54;FF-Std-150-CHP;30;30;34;93;27;31;700000;2.7;False
55;FF-Mean-150-Std-150-CHP;30;30;51;93;27;31;700000;2.7;False
56;SQ-Std-150-CHP;30;5;34;120;27;31;700000;2.7;False
57;SQ-Std-200-CHP;30;5;34;120;36;31;700000;2.7;False
58;SQ-HP-50-COP-125-CHP;30;5;34;120;18;31;350000;3.375;False
59;SQ-HP-50-COP-150-CHP;30;5;34;120;18;31;350000;4.05;False
60;SQ-HP-50-COP-175-CHP;30;5;34;120;18;31;350000;4.725;False
61;SQ-HP-50-COP-200-CHP;30;5;34;120;18;31;350000;5.4;False
